"OBJECTID","TOWNNAME","TOWNNAME_SUGGEST","POSTCODE","PAYS","REGION","X","Y"
257896,"CHANGÉ","CHANGÉ","72560","FRANCE","72",0,28223,47,98733
257899,"KERMOISAN","KERMOISAN","44740","FRANCE","44",-2,45522,47,27855
257900,"AVESSÉ","AVESSÉ","72350","FRANCE","72",-0,2505,47,9552
257911,"SAINT-JEAN-SUR-MAYENNE","SAINT-JEAN-SUR-MAYENNE","53240","FRANCE","53",-0,75126,48,13105
257912,"SAINT-VINCENT-DES-LANDES","SAINT-VINCENT-DES-LANDES","44590","FRANCE","44",-1,50578,47,65618
257913,"LONGUEFUYE","LONGUEFUYE","53200","FRANCE","53",-0,61435,47,86651
257917,"MAMERS","MAMERS","72600","FRANCE","72",0,36865,48,35067
257924,"LA RIOTTIÈRE","LA RIOTTIÈRE","49123","FRANCE","49",-0,93491,47,4104
257931,"SAINT-HILAIRE-DE-LOULAY","SAINT-HILAIRE-DE-LOULAY","85600","FRANCE","85",-1,33124,47,00351
257935,"DAUMERAY","DAUMERAY","49640","FRANCE","49",-0,36374,47,70117
257936,"LA HAIE-FOUASSIÈRE","LA HAIE-FOUASSIÈRE","44690","FRANCE","44",-1,39871,47,15429
257947,"ÉTIAU","ÉTIAU","49670","FRANCE","49",-0,58042,47,2376
257949,"LA LEUE","LA LEUE","85210","FRANCE","85",-1,04093,46,62893
257953,"SAINT-COSME-EN-VAIRAIS","SAINT-COSME-EN-VAIRAIS","72110","FRANCE","72",0,45776,48,27586
257955,"TRIGNAC","TRIGNAC","44570","FRANCE","44",-2,18787,47,31743
257956,"LA HAIE","LA HAIE","44150","FRANCE","44",-1,12569,47,40357
257959,"LE MIGRON","LE MIGRON","44320","FRANCE","44",-1,91725,47,25552
257960,"SAINTE-FLORENCE","SAINTE-FLORENCE","85140","FRANCE","85",-1,1518,46,79885
257961,"ARGENTAY","ARGENTAY","49700","FRANCE","49",-0,26632,47,14018
257964,"TRÉZÉ","TRÉZÉ","49260","FRANCE","49",-0,07729,47,11165
257969,"LA DORÉE","LA DORÉE","53190","FRANCE","53",-0,96495,48,44867
257974,"LA CALUYÈRE","LA CALUYÈRE","72160","FRANCE","72",0,50184,48,05944
257976,"BEAULIEU-SOUS-LA-ROCHE","BEAULIEU-SOUS-LA-ROCHE","85190","FRANCE","85",-1,61073,46,67608
257977,"LES MAGNILS-REIGNIERS","LES MAGNILS-REIGNIERS","85400","FRANCE","85",-1,219,46,47953
257978,"SAINT-CYR-LE-GRAVELAIS","SAINT-CYR-LE-GRAVELAIS","53320","FRANCE","53",-1,02603,48,03501
257979,"LA COURPIÈRE","LA COURPIÈRE","85250","FRANCE","85",-1,16796,46,84174
257980,"DANGEUL","DANGEUL","72260","FRANCE","72",0,25778,48,24671
257981,"LA TÉLINDIÈRE","LA TÉLINDIÈRE","44640","FRANCE","44",-1,73653,47,19981
257986,"VAUCÉ","VAUCÉ","53300","FRANCE","53",-0,72977,48,46259
257990,"LE BUISSON","LE BUISSON","72610","FRANCE","72",0,18651,48,40683
257994,"SAINTE-GEMMES-D'ANDIGNÉ","SAINTE-GEMMES-D'ANDIGNÉ","49500","FRANCE","49",-0,88342,47,67527
257995,"L'HERBAUDIÈRE","L'HERBAUDIÈRE","85330","FRANCE","85",-2,30013,47,02234
257996,"CORNU","CORNU","49540","FRANCE","49",-0,46271,47,23228
257999,"CHAMMES","CHAMMES","53270","FRANCE","53",-0,37677,48,07731
258002,"VARADES","VARADES","44370","FRANCE","44",-1,03027,47,38491
258003,"FOUGERÉ","FOUGERÉ","85480","FRANCE","85",-1,2325,46,65783
258005,"SAINT-HILAIRE-LA-FORÊT","SAINT-HILAIRE-LA-FORÊT","85440","FRANCE","85",-1,52628,46,44773
258006,"LAUNAY-VILLAGE","LAUNAY-VILLAGE","44850","FRANCE","44",-1,38149,47,33198
258008,"CROSSAC","CROSSAC","44160","FRANCE","44",-2,16808,47,41187
258011,"ÉVRUNES","ÉVRUNES","85290","FRANCE","85",-0,97216,47,00026
258012,"BOURNEAU","BOURNEAU","85200","FRANCE","85",-0,81717,46,54082
258017,"NOYANT-LA-PLAINE","NOYANT-LA-PLAINE","49700","FRANCE","49",-0,3604,47,27619
258019,"OROUËT","OROUËT","85160","FRANCE","85",-1,99582,46,76266
258023,"LE CHAMPSIOME","LE CHAMPSIOME","44860","FRANCE","44",-1,5577,47,14811
258027,"BIERNÉ","BIERNÉ","53290","FRANCE","53",-0,54247,47,80991
258032,"TREFFIEUX","TREFFIEUX","44170","FRANCE","44",-1,53761,47,6194
258037,"LE GUÉDENIAU","LE GUÉDENIAU","49150","FRANCE","49",-0,04772,47,49575
258042,"MONTMIRAIL","MONTMIRAIL","72320","FRANCE","72",0,79155,48,10416
258043,"SAINT-BARTHÉLEMY-D'ANJOU","SAINT-BARTHÉLEMY-D'ANJOU","49124","FRANCE","49",-0,49434,47,46824
258045,"SAINT-VINCENT-DU-LOROUËR","SAINT-VINCENT-DU-LOROUËR","72150","FRANCE","72",0,48954,47,8253
258048,"CHANTELOUP-LES-BOIS","CHANTELOUP-LES-BOIS","49340","FRANCE","49",-0,68502,47,09528
258052,"NOTRE-DAME-DES-LANGUEURS","NOTRE-DAME-DES-LANGUEURS","44440","FRANCE","44",-1,47505,47,51709
258061,"LA CHAPELLE-ROUSSELIN","LA CHAPELLE-ROUSSELIN","49120","FRANCE","49",-0,79467,47,2136
258065,"CORCOUÉ-SUR-LOGNE","CORCOUÉ-SUR-LOGNE","44650","FRANCE","44",-1,57755,46,96527
258069,"PISSOTTE","PISSOTTE","85200","FRANCE","85",-0,80864,46,49679
258071,"CHOLET","CHOLET","49300","FRANCE","49",-0,8807,47,06259
258074,"SOMLOIRE","SOMLOIRE","49360","FRANCE","49",-0,6079,47,03229
258076,"COUËRON","COUËRON","44220","FRANCE","44",-1,72723,47,21086
258079,"SAINT-GERVAIS-DE-VIC","SAINT-GERVAIS-DE-VIC","72120","FRANCE","72",0,7413,47,8872
258080,"SAINT-VINCENT-STERLANGES","SAINT-VINCENT-STERLANGES","85110","FRANCE","85",-1,08838,46,74309
258081,"LA SALLE","LA SALLE","44470","FRANCE","44",-1,4404,47,30033
258083,"SAINT-ÉMILIEN DE BLAIN","SAINT-ÉMILIEN DE BLAIN","44130","FRANCE","44",-1,71158,47,43335
258089,"VILLAINES-LA-GONAIS","VILLAINES-LA-GONAIS","72400","FRANCE","72",0,60023,48,13613
258091,"LE PITEAU","LE PITEAU","44190","FRANCE","44",-1,26694,47,1025
258093,"SAINT-PHILBERT-EN-MAUGES","SAINT-PHILBERT-EN-MAUGES","49600","FRANCE","49",-1,01746,47,15179
258100,"GESNES","GESNES","53150","FRANCE","53",-0,58529,48,14681
258104,"MONTREUIL-LE-HENRI","MONTREUIL-LE-HENRI","72150","FRANCE","72",0,56533,47,86723
258106,"PUY-DE-SERRE","PUY-DE-SERRE","85240","FRANCE","85",-0,67007,46,56335
258107,"ALLONNES","ALLONNES","49650","FRANCE","49",0,02226,47,29363
258108,"LA FOSSE-DE-TIGNÉ","LA FOSSE-DE-TIGNÉ","49540","FRANCE","49",-0,42924,47,18239
258112,"COURCEMONT","COURCEMONT","72110","FRANCE","72",0,34917,48,17376
258114,"BRAINS-SUR-LES-MARCHES","BRAINS-SUR-LES-MARCHES","53350","FRANCE","53",-1,18166,47,88646
258115,"BELLEVUE","BELLEVUE","44550","FRANCE","44",-2,17723,47,30869
258121,"L'ÉPAUD","L'ÉPAUD","85700","FRANCE","85",-0,9058,46,83638
258123,"SAULGÉ-L'HÔPITAL","SAULGÉ-L'HÔPITAL","49320","FRANCE","49",-0,3834,47,2965
258127,"LA BRIANTIÈRE","LA BRIANTIÈRE","44850","FRANCE","44",-1,35354,47,37168
258128,"LA COGNARDIÈRE","LA COGNARDIÈRE","44330","FRANCE","44",-1,36549,47,15546
258129,"LA MEIGNANNE","LA MEIGNANNE","49770","FRANCE","49",-0,66977,47,51928
258130,"SAINT-MATHURIN-SUR-LOIRE","SAINT-MATHURIN-SUR-LOIRE","49250","FRANCE","49",-0,3192,47,40886
258132,"SOUIL","SOUIL","85420","FRANCE","85",-0,76539,46,40564
258140,"BOIS DEUX","BOIS DEUX","49500","FRANCE","49",-0,92468,47,69977
258144,"MAIGNÉ","MAIGNÉ","72210","FRANCE","72",-0,05316,47,93868
258149,"SAFFRÉ","SAFFRÉ","44390","FRANCE","44",-1,57848,47,50148
258150,"BRAINS-SUR-GÉE","BRAINS-SUR-GÉE","72550","FRANCE","72",-0,02501,48,01525
258151,"FAYE-D'ANJOU","FAYE-D'ANJOU","49380","FRANCE","49",-0,52497,47,29458
258155,"LEVARÉ","LEVARÉ","53120","FRANCE","53",-0,91344,48,41791
258163,"LA CHAPELLE AUBRY","LA CHAPELLE AUBRY","49110","FRANCE","49",-0,96118,47,24436
258165,"ROUPERROUX-LE-COQUET","ROUPERROUX-LE-COQUET","72110","FRANCE","72",0,42998,48,22686
258170,"FERCÉ","FERCÉ","44660","FRANCE","44",-1,41574,47,79671
258172,"NONNAIRE","NONNAIRE","44140","FRANCE","44",-1,46935,47,03649
258178,"FAYMOREAU-CENTRE MINIER","FAYMOREAU-CENTRE MINIER","85240","FRANCE","85",-0,62898,46,55358
258182,"LA VINEUSE","LA VINEUSE","85210","FRANCE","85",-1,08038,46,57225
258183,"MARCÉ","MARCÉ","49140","FRANCE","49",-0,32831,47,58051
258184,"LA RIBOTIÈRE","LA RIBOTIÈRE","85170","FRANCE","85",-1,43046,46,73137
258189,"PAIMBOEUF","PAIMBOEUF","44560","FRANCE","44",-2,0348,47,28887
258192,"DISSAY-SOUS-COURCILLON","DISSAY-SOUS-COURCILLON","72500","FRANCE","72",0,47208,47,66467
258200,"SAINT-GEORGES-DE-MONTAIGU","SAINT-GEORGES-DE-MONTAIGU","85600","FRANCE","85",-1,29668,46,94779
258202,"NOTRE-DAME-DE-GRÂCE","NOTRE-DAME-DE-GRÂCE","44530","FRANCE","44",-1,93109,47,48945
258206,"SAINT-JULIEN-LE-PAUVRE","SAINT-JULIEN-LE-PAUVRE","72240","FRANCE","72",-0,00785,48,05732
258207,"COULANS-SUR-GÉE","COULANS-SUR-GÉE","72550","FRANCE","72",0,01346,48,02132
258209,"PARIGNÉ-LE-PÔLIN","PARIGNÉ-LE-PÔLIN","72330","FRANCE","72",0,11072,47,85091
258212,"LE TABLIER","LE TABLIER","85310","FRANCE","85",-1,34313,46,57447
258214,"GRÉZILLÉ","GRÉZILLÉ","49320","FRANCE","49",-0,34736,47,32619
258215,"MONCÉ-EN-SAOSNOIS","MONCÉ-EN-SAOSNOIS","72260","FRANCE","72",0,39071,48,27494
258216,"CHÂTEAU-DU-LOIR","CHÂTEAU-DU-LOIR","72500","FRANCE","72",0,41794,47,69548
258220,"LAMNAY","LAMNAY","72320","FRANCE","72",0,70321,48,11695
258222,"CHÊNEHUTTE","CHÊNEHUTTE","49350","FRANCE","49",-0,15236,47,30759
258223,"SAINT-AUBIN-DE-LOCQUENAY","SAINT-AUBIN-DE-LOCQUENAY","72130","FRANCE","72",0,02493,48,27236
258224,"MESNARD-LA-BAROTIÈRE","MESNARD-LA-BAROTIÈRE","85500","FRANCE","85",-1,09939,46,86045
258225,"LONGUÉ-JUMELLES","LONGUÉ-JUMELLES","49160","FRANCE","49",-0,10653,47,37642
258228,"SAINTE-CHRISTINE","SAINTE-CHRISTINE","49120","FRANCE","49",-0,84901,47,28668
258232,"GOHIER","GOHIER","49320","FRANCE","49",-0,36014,47,40485
258235,"MONTAILLÉ","MONTAILLÉ","72120","FRANCE","72",0,70117,47,93656
258243,"SAINT-SATURNIN-SUR-LOIRE","SAINT-SATURNIN-SUR-LOIRE","49320","FRANCE","49",-0,43794,47,39399
258245,"LA GICQUELIÈRE","LA GICQUELIÈRE","44440","FRANCE","44",-1,40783,47,50651
258248,"ARMAILLÉ","ARMAILLÉ","49420","FRANCE","49",-1,1284,47,71503
258252,"LE PLESSIS-GRAMMOIRE","LE PLESSIS-GRAMMOIRE","49124","FRANCE","49",-0,43103,47,50132
258253,"MONHOUDOU","MONHOUDOU","72260","FRANCE","72",0,32715,48,2861
258258,"PONT HABERT","PONT HABERT","85300","FRANCE","85",-1,8999,46,85692
258272,"CHAVAGNES-LES-EAUX","CHAVAGNES-LES-EAUX","49380","FRANCE","49",-0,45544,47,26926
258274,"LE LIBARET","LE LIBARET","53410","FRANCE","53",-0,9689,48,10466
258276,"CLÉRÉ-SUR-LAYON","CLÉRÉ-SUR-LAYON","49560","FRANCE","49",-0,42122,47,0922
258277,"FROSSAY","FROSSAY","44320","FRANCE","44",-1,93096,47,24511
258280,"MÉNIL","MÉNIL","53200","FRANCE","53",-0,67709,47,77571
258284,"RENÉ","RENÉ","72260","FRANCE","72",0,2216,48,27853
258286,"BOURG","BOURG","49460","FRANCE","49",-0,55538,47,59138
258288,"SION-LES-MINES","SION-LES-MINES","44590","FRANCE","44",-1,59192,47,73467
258291,"AVESSAC","AVESSAC","44460","FRANCE","44",-1,98887,47,65378
258295,"SAINT-HILAIRE-DE-CHALÉONS","SAINT-HILAIRE-DE-CHALÉONS","44680","FRANCE","44",-1,86456,47,10322
258298,"AUBIGNY","AUBIGNY","85430","FRANCE","85",-1,45292,46,59667
258301,"SAINT-GEORGES-DES-SEPT-VOIES","SAINT-GEORGES-DES-SEPT-VOIES","49350","FRANCE","49",-0,30492,47,35363
258303,"LAVERNAT","LAVERNAT","72500","FRANCE","72",0,33305,47,71787
258305,"FORGES","FORGES","49700","FRANCE","49",-0,24421,47,21872
258310,"NOIRMOUTIER-EN-L'ÎLE","NOIRMOUTIER-EN-L'ÎLE","85330","FRANCE","85",-2,24766,47,00029
258314,"LE PELLERIN","LE PELLERIN","44640","FRANCE","44",-1,75437,47,20179
258317,"SAINT-BRICE","SAINT-BRICE","53290","FRANCE","53",-0,44243,47,85915
